"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"KY","Allen",2100300000,"President","William Martin Ling","",0,8096
"KY","Anderson",2100500000,"President","Anthony J. Valdiva","",0,11422
"KY","Anderson",2100500000,"President","Ben Hartnell","",0,11422
"KY","Anderson",2100500000,"President","Cherunda Fox","",0,11422
"KY","Anderson",2100500000,"President","Chris Keniston","Veteran's Party of America",0,11422
"KY","Anderson",2100500000,"President","Craig Ellis","",0,11422
"KY","Anderson",2100500000,"President","Daniel Paul Zutler","",0,11422
"KY","Anderson",2100500000,"President","Darrell Castle","Constitution",2,11422
"KY","Anderson",2100500000,"President","David Perry","",0,11422
"KY","Anderson",2100500000,"President","Denny Carroll Jackson","",0,11422
"KY","Anderson",2100500000,"President","Donald Trump","Republican",8242,11422
"KY","Anderson",2100500000,"President","Evan McMullin","Independent",165,11422
"KY","Anderson",2100500000,"President","Gary Johnson","Libertarian",319,11422
"KY","Anderson",2100500000,"President","Hillary Clinton","Democrat",2634,11422
"KY","Anderson",2100500000,"President","Jerry White","",0,11422
"KY","Anderson",2100500000,"President","Jill Stein","Green",54,11422
"KY","Anderson",2100500000,"President","Joseph Maldonado","",0,11422
"KY","Anderson",2100500000,"President","Laurence Kotlikoff","",0,11422
"KY","Anderson",2100500000,"President","Marshall Roy Schoenke","",0,11422
"KY","Anderson",2100500000,"President","Michael Maturen","",0,11422
"KY","Anderson",2100500000,"President","Mike Smith","",0,11422
"KY","Anderson",2100500000,"President","Richard Duncan","",0,11422
"KY","Anderson",2100500000,"President","Richard Turner Luesing Jr.","",0,11422
"KY","Anderson",2100500000,"President","Rocky Roque de la Fuente","American Delta",6,11422
"KY","Anderson",2100500000,"President","Santa Roy A. Clark","",0,11422
"KY","Anderson",2100500000,"President","Scott Cubbler","",0,11422
"KY","Anderson",2100500000,"President","Sheila Samm Tittle","We the People",0,11422
"KY","Anderson",2100500000,"President","Timothy Allen Stevens","",0,11422
"KY","Anderson",2100500000,"President","Tom Hoefling","America's Party",0,11422
"KY","Anderson",2100500000,"President","William Martin Ling","",0,11422
"KY","Ballard",2100700000,"President","Anthony J. Valdiva","",0,4101
"KY","Ballard",2100700000,"President","Ben Hartnell","",0,4101
"KY","Ballard",2100700000,"President","Cherunda Fox","",0,4101
"KY","Ballard",2100700000,"President","Chris Keniston","Veteran's Party of America",0,4101
"KY","Ballard",2100700000,"President","Craig Ellis","",0,4101
"KY","Ballard",2100700000,"President","Daniel Paul Zutler","",0,4101
"KY","Ballard",2100700000,"President","Darrell Castle","Constitution",0,4101
"KY","Ballard",2100700000,"President","David Perry","",0,4101
"KY","Ballard",2100700000,"President","Denny Carroll Jackson","",0,4101
"KY","Ballard",2100700000,"President","Donald Trump","Republican",3161,4101
"KY","Ballard",2100700000,"President","Evan McMullin","Independent",23,4101
"KY","Ballard",2100700000,"President","Gary Johnson","Libertarian",77,4101
"KY","Ballard",2100700000,"President","Hillary Clinton","Democrat",816,4101
"KY","Ballard",2100700000,"President","Jerry White","",0,4101
"KY","Ballard",2100700000,"President","Jill Stein","Green",20,4101
"KY","Ballard",2100700000,"President","Joseph Maldonado","",0,4101
"KY","Ballard",2100700000,"President","Laurence Kotlikoff","",0,4101
"KY","Ballard",2100700000,"President","Marshall Roy Schoenke","",0,4101
"KY","Ballard",2100700000,"President","Michael Maturen","",0,4101
"KY","Ballard",2100700000,"President","Mike Smith","",0,4101
"KY","Ballard",2100700000,"President","Richard Duncan","",0,4101
"KY","Ballard",2100700000,"President","Richard Turner Luesing Jr.","",0,4101
"KY","Ballard",2100700000,"President","Rocky Roque de la Fuente","American Delta",4,4101
"KY","Ballard",2100700000,"President","Santa Roy A. Clark","",0,4101
"KY","Ballard",2100700000,"President","Scott Cubbler","",0,4101
"KY","Ballard",2100700000,"President","Sheila Samm Tittle","We the People",0,4101
"KY","Ballard",2100700000,"President","Timothy Allen Stevens","",0,4101
"KY","Ballard",2100700000,"President","Tom Hoefling","America's Party",0,4101
"KY","Ballard",2100700000,"President","William Martin Ling","",0,4101
"KY","Barren",2100900000,"President","Anthony J. Valdiva","",0,18488
"KY","Barren",2100900000,"President","Ben Hartnell","",0,18488
"KY","Barren",2100900000,"President","Cherunda Fox","",0,18488
"KY","Barren",2100900000,"President","Chris Keniston","Veteran's Party of America",0,18488
"KY","Barren",2100900000,"President","Craig Ellis","",0,18488
"KY","Barren",2100900000,"President","Daniel Paul Zutler","",0,18488
"KY","Barren",2100900000,"President","Darrell Castle","Constitution",5,18488
"KY","Barren",2100900000,"President","David Perry","",0,18488
"KY","Barren",2100900000,"President","Denny Carroll Jackson","",0,18488
"KY","Barren",2100900000,"President","Donald Trump","Republican",13483,18488
"KY","Barren",2100900000,"President","Evan McMullin","Independent",167,18488
"KY","Barren",2100900000,"President","Gary Johnson","Libertarian",455,18488
"KY","Barren",2100900000,"President","Hillary Clinton","Democrat",4275,18488
"KY","Barren",2100900000,"President","Jerry White","",0,18488
"KY","Barren",2100900000,"President","Jill Stein","Green",93,18488
"KY","Barren",2100900000,"President","Joseph Maldonado","",0,18488
"KY","Barren",2100900000,"President","Laurence Kotlikoff","",0,18488
"KY","Barren",2100900000,"President","Marshall Roy Schoenke","",0,18488
"KY","Barren",2100900000,"President","Michael Maturen","",0,18488
"KY","Barren",2100900000,"President","Mike Smith","",0,18488
"KY","Barren",2100900000,"President","Richard Duncan","",0,18488
"KY","Barren",2100900000,"President","Richard Turner Luesing Jr.","",0,18488
"KY","Barren",2100900000,"President","Rocky Roque de la Fuente","American Delta",10,18488
"KY","Barren",2100900000,"President","Santa Roy A. Clark","",0,18488
"KY","Barren",2100900000,"President","Scott Cubbler","",0,18488
"KY","Barren",2100900000,"President","Sheila Samm Tittle","We the People",0,18488
"KY","Barren",2100900000,"President","Timothy Allen Stevens","",0,18488
"KY","Barren",2100900000,"President","Tom Hoefling","America's Party",0,18488
"KY","Barren",2100900000,"President","William Martin Ling","",0,18488
"KY","Bath",2101100000,"President","Anthony J. Valdiva","",0,4587
"KY","Bath",2101100000,"President","Ben Hartnell","",0,4587
"KY","Bath",2101100000,"President","Cherunda Fox","",0,4587
"KY","Bath",2101100000,"President","Chris Keniston","Veteran's Party of America",0,4587
"KY","Bath",2101100000,"President","Craig Ellis","",0,4587
"KY","Bath",2101100000,"President","Daniel Paul Zutler","",0,4587
"KY","Bath",2101100000,"President","Darrell Castle","Constitution",0,4587
"KY","Bath",2101100000,"President","David Perry","",0,4587
"KY","Bath",2101100000,"President","Denny Carroll Jackson","",0,4587
"KY","Bath",2101100000,"President","Donald Trump","Republican",3082,4587
"KY","Bath",2101100000,"President","Evan McMullin","Independent",35,4587
"KY","Bath",2101100000,"President","Gary Johnson","Libertarian",75,4587
"KY","Bath",2101100000,"President","Hillary Clinton","Democrat",1361,4587
"KY","Bath",2101100000,"President","Jerry White","",0,4587
"KY","Bath",2101100000,"President","Jill Stein","Green",24,4587
"KY","Bath",2101100000,"President","Joseph Maldonado","",0,4587
"KY","Bath",2101100000,"President","Laurence Kotlikoff","",0,4587
"KY","Bath",2101100000,"President","Marshall Roy Schoenke","",0,4587
"KY","Bath",2101100000,"President","Michael Maturen","",0,4587
"KY","Bath",2101100000,"President","Mike Smith","",0,4587
"KY","Bath",2101100000,"President","Richard Duncan","",0,4587
"KY","Bath",2101100000,"President","Richard Turner Luesing Jr.","",0,4587
"KY","Bath",2101100000,"President","Rocky Roque de la Fuente","American Delta",6,4587
"KY","Bath",2101100000,"President","Santa Roy A. Clark","",0,4587
"KY","Bath",2101100000,"President","Scott Cubbler","",0,4587
"KY","Bath",2101100000,"President","Sheila Samm Tittle","We the People",0,4587
"KY","Bath",2101100000,"President","Timothy Allen Stevens","",4,4587
"KY","Bath",2101100000,"President","Tom Hoefling","America's Party",0,4587
"KY","Bath",2101100000,"President","William Martin Ling","",0,4587
"KY","Bell",2101300000,"President","Anthony J. Valdiva","",0,9718
"KY","Bell",2101300000,"President","Ben Hartnell","",0,9718
"KY","Bell",2101300000,"President","Cherunda Fox","",0,9718
"KY","Bell",2101300000,"President","Chris Keniston","Veteran's Party of America",0,9718
"KY","Bell",2101300000,"President","Craig Ellis","",0,9718
"KY","Bell",2101300000,"President","Daniel Paul Zutler","",0,9718
"KY","Bell",2101300000,"President","Darrell Castle","Constitution",0,9718
"KY","Bell",2101300000,"President","David Perry","",0,9718
"KY","Bell",2101300000,"President","Denny Carroll Jackson","",0,9718
"KY","Bell",2101300000,"President","Donald Trump","Republican",7764,9718
"KY","Bell",2101300000,"President","Evan McMullin","Independent",44,9718
"KY","Bell",2101300000,"President","Gary Johnson","Libertarian",144,9718
"KY","Bell",2101300000,"President","Hillary Clinton","Democrat",1720,9718
"KY","Bell",2101300000,"President","Jerry White","",0,9718
"KY","Bell",2101300000,"President","Jill Stein","Green",42,9718
"KY","Bell",2101300000,"President","Joseph Maldonado","",0,9718
"KY","Bell",2101300000,"President","Laurence Kotlikoff","",0,9718
"KY","Bell",2101300000,"President","Marshall Roy Schoenke","",0,9718
"KY","Bell",2101300000,"President","Michael Maturen","",0,9718
"KY","Bell",2101300000,"President","Mike Smith","",0,9718
"KY","Bell",2101300000,"President","Richard Duncan","",0,9718
"KY","Bell",2101300000,"President","Richard Turner Luesing Jr.","",0,9718
"KY","Bell",2101300000,"President","Rocky Roque de la Fuente","American Delta",4,9718
"KY","Bell",2101300000,"President","Santa Roy A. Clark","",0,9718
"KY","Bell",2101300000,"President","Scott Cubbler","",0,9718
"KY","Bell",2101300000,"President","Sheila Samm Tittle","We the People",0,9718
"KY","Bell",2101300000,"President","Timothy Allen Stevens","",0,9718
"KY","Bell",2101300000,"President","Tom Hoefling","America's Party",0,9718
"KY","Bell",2101300000,"President","William Martin Ling","",0,9718
"KY","Boone",2101500000,"President","Anthony J. Valdiva","",0,57618
"KY","Boone",2101500000,"President","Ben Hartnell","",0,57618
"KY","Boone",2101500000,"President","Cherunda Fox","",0,57618
"KY","Boone",2101500000,"President","Chris Keniston","Veteran's Party of America",0,57618
"KY","Boone",2101500000,"President","Craig Ellis","",0,57618
"KY","Boone",2101500000,"President","Daniel Paul Zutler","",0,57618
"KY","Boone",2101500000,"President","Darrell Castle","Constitution",41,57618
"KY","Boone",2101500000,"President","David Perry","",1,57618
"KY","Boone",2101500000,"President","Denny Carroll Jackson","",2,57618
"KY","Boone",2101500000,"President","Donald Trump","Republican",39082,57618
"KY","Boone",2101500000,"President","Evan McMullin","Independent",763,57618
"KY","Boone",2101500000,"President","Gary Johnson","Libertarian",2299,57618
"KY","Boone",2101500000,"President","Hillary Clinton","Democrat",15026,57618
"KY","Boone",2101500000,"President","Jerry White","",0,57618
"KY","Boone",2101500000,"President","Jill Stein","Green",380,57618
"KY","Boone",2101500000,"President","Joseph Maldonado","",0,57618
"KY","Boone",2101500000,"President","Laurence Kotlikoff","",2,57618
"KY","Boone",2101500000,"President","Marshall Roy Schoenke","",0,57618
"KY","Boone",2101500000,"President","Michael Maturen","",0,57618
"KY","Boone",2101500000,"President","Mike Smith","",0,57618
"KY","Boone",2101500000,"President","Richard Duncan","",0,57618
"KY","Boone",2101500000,"President","Richard Turner Luesing Jr.","",0,57618
"KY","Boone",2101500000,"President","Rocky Roque de la Fuente","American Delta",20,57618
"KY","Boone",2101500000,"President","Santa Roy A. Clark","",0,57618
"KY","Boone",2101500000,"President","Scott Cubbler","",0,57618
"KY","Boone",2101500000,"President","Sheila Samm Tittle","We the People",0,57618
"KY","Boone",2101500000,"President","Timothy Allen Stevens","",0,57618
"KY","Boone",2101500000,"President","Tom Hoefling","America's Party",2,57618
"KY","Boone",2101500000,"President","William Martin Ling","",0,57618
"KY","Bourbon",2101700000,"President","Anthony J. Valdiva","",0,8803
"KY","Bourbon",2101700000,"President","Ben Hartnell","",0,8803
"KY","Bourbon",2101700000,"President","Cherunda Fox","",0,8803
"KY","Bourbon",2101700000,"President","Chris Keniston","Veteran's Party of America",0,8803
"KY","Bourbon",2101700000,"President","Craig Ellis","",0,8803
"KY","Bourbon",2101700000,"President","Daniel Paul Zutler","",0,8803
"KY","Bourbon",2101700000,"President","Darrell Castle","Constitution",5,8803
"KY","Bourbon",2101700000,"President","David Perry","",0,8803
"KY","Bourbon",2101700000,"President","Denny Carroll Jackson","",0,8803
"KY","Bourbon",2101700000,"President","Donald Trump","Republican",5569,8803
"KY","Bourbon",2101700000,"President","Evan McMullin","Independent",96,8803
"KY","Bourbon",2101700000,"President","Gary Johnson","Libertarian",283,8803
"KY","Bourbon",2101700000,"President","Hillary Clinton","Democrat",2791,8803
"KY","Bourbon",2101700000,"President","Jerry White","",0,8803
"KY","Bourbon",2101700000,"President","Jill Stein","Green",52,8803
"KY","Bourbon",2101700000,"President","Joseph Maldonado","",0,8803
"KY","Bourbon",2101700000,"President","Laurence Kotlikoff","",0,8803
"KY","Bourbon",2101700000,"President","Marshall Roy Schoenke","",0,8803
"KY","Bourbon",2101700000,"President","Michael Maturen","",0,8803
"KY","Bourbon",2101700000,"President","Mike Smith","",0,8803
"KY","Bourbon",2101700000,"President","Richard Duncan","",0,8803
"KY","Bourbon",2101700000,"President","Richard Turner Luesing Jr.","",0,8803
"KY","Bourbon",2101700000,"President","Rocky Roque de la Fuente","American Delta",4,8803
"KY","Bourbon",2101700000,"President","Santa Roy A. Clark","",0,8803
"KY","Bourbon",2101700000,"President","Scott Cubbler","",0,8803
"KY","Bourbon",2101700000,"President","Sheila Samm Tittle","We the People",0,8803
"KY","Bourbon",2101700000,"President","Timothy Allen Stevens","",0,8803
"KY","Bourbon",2101700000,"President","Tom Hoefling","America's Party",3,8803
"KY","Bourbon",2101700000,"President","William Martin Ling","",0,8803
"KY","Boyd",2101900000,"President","Anthony J. Valdiva","",0,20454
"KY","Boyd",2101900000,"President","Ben Hartnell","",0,20454
"KY","Boyd",2101900000,"President","Cherunda Fox","",0,20454
"KY","Boyd",2101900000,"President","Chris Keniston","Veteran's Party of America",0,20454
"KY","Boyd",2101900000,"President","Craig Ellis","",0,20454
"KY","Boyd",2101900000,"President","Daniel Paul Zutler","",0,20454
"KY","Boyd",2101900000,"President","Darrell Castle","Constitution",0,20454
"KY","Boyd",2101900000,"President","David Perry","",0,20454
"KY","Boyd",2101900000,"President","Denny Carroll Jackson","",0,20454
"KY","Boyd",2101900000,"President","Donald Trump","Republican",13591,20454
"KY","Boyd",2101900000,"President","Evan McMullin","Independent",168,20454
"KY","Boyd",2101900000,"President","Gary Johnson","Libertarian",496,20454
"KY","Boyd",2101900000,"President","Hillary Clinton","Democrat",6021,20454
"KY","Boyd",2101900000,"President","Jerry White","",0,20454
"KY","Boyd",2101900000,"President","Jill Stein","Green",167,20454
"KY","Boyd",2101900000,"President","Joseph Maldonado","",0,20454
"KY","Boyd",2101900000,"President","Laurence Kotlikoff","",0,20454
"KY","Boyd",2101900000,"President","Marshall Roy Schoenke","",0,20454
"KY","Boyd",2101900000,"President","Michael Maturen","",0,20454
"KY","Boyd",2101900000,"President","Mike Smith","",0,20454
"KY","Boyd",2101900000,"President","Richard Duncan","",0,20454
"KY","Boyd",2101900000,"President","Richard Turner Luesing Jr.","",0,20454
"KY","Boyd",2101900000,"President","Rocky Roque de la Fuente","American Delta",11,20454
"KY","Boyd",2101900000,"President","Santa Roy A. Clark","",0,20454
"KY","Boyd",2101900000,"President","Scott Cubbler","",0,20454
"KY","Boyd",2101900000,"President","Sheila Samm Tittle","We the People",0,20454
"KY","Boyd",2101900000,"President","Timothy Allen Stevens","",0,20454
"KY","Boyd",2101900000,"President","Tom Hoefling","America's Party",0,20454
"KY","Boyd",2101900000,"President","William Martin Ling","",0,20454
"KY","Boyle",2102100000,"President","Anthony J. Valdiva","",0,12946
"KY","Boyle",2102100000,"President","Ben Hartnell","",0,12946
"KY","Boyle",2102100000,"President","Cherunda Fox","",0,12946
"KY","Boyle",2102100000,"President","Chris Keniston","Veteran's Party of America",0,12946
"KY","Boyle",2102100000,"President","Craig Ellis","",0,12946
"KY","Boyle",2102100000,"President","Daniel Paul Zutler","",0,12946
"KY","Boyle",2102100000,"President","Darrell Castle","Constitution",3,12946
"KY","Boyle",2102100000,"President","David Perry","",0,12946
"KY","Boyle",2102100000,"President","Denny Carroll Jackson","",0,12946
"KY","Boyle",2102100000,"President","Donald Trump","Republican",8040,12946
"KY","Boyle",2102100000,"President","Evan McMullin","Independent",169,12946
"KY","Boyle",2102100000,"President","Gary Johnson","Libertarian",365,12946
"KY","Boyle",2102100000,"President","Hillary Clinton","Democrat",4281,12946
"KY","Boyle",2102100000,"President","Jerry White","",0,12946
"KY","Boyle",2102100000,"President","Jill Stein","Green",73,12946
"KY","Boyle",2102100000,"President","Joseph Maldonado","",0,12946
"KY","Boyle",2102100000,"President","Laurence Kotlikoff","",0,12946
"KY","Boyle",2102100000,"President","Marshall Roy Schoenke","",0,12946
"KY","Boyle",2102100000,"President","Michael Maturen","",2,12946
"KY","Boyle",2102100000,"President","Mike Smith","",0,12946
"KY","Boyle",2102100000,"President","Richard Duncan","",0,12946
"KY","Boyle",2102100000,"President","Richard Turner Luesing Jr.","",0,12946
"KY","Boyle",2102100000,"President","Rocky Roque de la Fuente","American Delta",10,12946
"KY","Boyle",2102100000,"President","Santa Roy A. Clark","",0,12946
"KY","Boyle",2102100000,"President","Scott Cubbler","",1,12946
"KY","Boyle",2102100000,"President","Sheila Samm Tittle","We the People",0,12946
"KY","Boyle",2102100000,"President","Timothy Allen Stevens","",0,12946
"KY","Boyle",2102100000,"President","Tom Hoefling","America's Party",2,12946
"KY","Boyle",2102100000,"President","William Martin Ling","",0,12946
"KY","Bracken",2102300000,"President","Anthony J. Valdiva","",0,3527
"KY","Bracken",2102300000,"President","Ben Hartnell","",0,3527
"KY","Bracken",2102300000,"President","Cherunda Fox","",0,3527
"KY","Bracken",2102300000,"President","Chris Keniston","Veteran's Party of America",0,3527
"KY","Bracken",2102300000,"President","Craig Ellis","",0,3527
"KY","Bracken",2102300000,"President","Daniel Paul Zutler","",0,3527
"KY","Bracken",2102300000,"President","Darrell Castle","Constitution",0,3527
"KY","Bracken",2102300000,"President","David Perry","",0,3527
"KY","Bracken",2102300000,"President","Denny Carroll Jackson","",0,3527
"KY","Bracken",2102300000,"President","Donald Trump","Republican",2711,3527
"KY","Bracken",2102300000,"President","Evan McMullin","Independent",35,3527
"KY","Bracken",2102300000,"President","Gary Johnson","Libertarian",51,3527
"KY","Bracken",2102300000,"President","Hillary Clinton","Democrat",705,3527
"KY","Bracken",2102300000,"President","Jerry White","",0,3527
"KY","Bracken",2102300000,"President","Jill Stein","Green",20,3527
"KY","Bracken",2102300000,"President","Joseph Maldonado","",0,3527
"KY","Bracken",2102300000,"President","Laurence Kotlikoff","",0,3527
"KY","Bracken",2102300000,"President","Marshall Roy Schoenke","",0,3527
"KY","Bracken",2102300000,"President","Michael Maturen","",0,3527
"KY","Bracken",2102300000,"President","Mike Smith","",0,3527
"KY","Bracken",2102300000,"President","Richard Duncan","",0,3527
"KY","Bracken",2102300000,"President","Richard Turner Luesing Jr.","",0,3527
"KY","Bracken",2102300000,"President","Rocky Roque de la Fuente","American Delta",5,3527
"KY","Bracken",2102300000,"President","Santa Roy A. Clark","",0,3527
"KY","Bracken",2102300000,"President","Scott Cubbler","",0,3527
"KY","Bracken",2102300000,"President","Sheila Samm Tittle","We the People",0,3527
"KY","Bracken",2102300000,"President","Timothy Allen Stevens","",0,3527
"KY","Bracken",2102300000,"President","Tom Hoefling","America's Party",0,3527
"KY","Bracken",2102300000,"President","William Martin Ling","",0,3527
"KY","Breathitt",2102500000,"President","Anthony J. Valdiva","",0,5738
"KY","Breathitt",2102500000,"President","Ben Hartnell","",0,5738
"KY","Breathitt",2102500000,"President","Cherunda Fox","",0,5738
"KY","Breathitt",2102500000,"President","Chris Keniston","Veteran's Party of America",0,5738
"KY","Breathitt",2102500000,"President","Craig Ellis","",0,5738
"KY","Breathitt",2102500000,"President","Daniel Paul Zutler","",0,5738
"KY","Breathitt",2102500000,"President","Darrell Castle","Constitution",2,5738
"KY","Breathitt",2102500000,"President","David Perry","",0,5738
"KY","Breathitt",2102500000,"President","Denny Carroll Jackson","",0,5738
"KY","Breathitt",2102500000,"President","Donald Trump","Republican",3991,5738
"KY","Breathitt",2102500000,"President","Evan McMullin","Independent",48,5738
"KY","Breathitt",2102500000,"President","Gary Johnson","Libertarian",117,5738
"KY","Breathitt",2102500000,"President","Hillary Clinton","Democrat",1537,5738
"KY","Breathitt",2102500000,"President","Jerry White","",0,5738
"KY","Breathitt",2102500000,"President","Jill Stein","Green",35,5738
"KY","Breathitt",2102500000,"President","Joseph Maldonado","",0,5738
"KY","Breathitt",2102500000,"President","Laurence Kotlikoff","",0,5738
"KY","Breathitt",2102500000,"President","Marshall Roy Schoenke","",0,5738
"KY","Breathitt",2102500000,"President","Michael Maturen","",0,5738
"KY","Breathitt",2102500000,"President","Mike Smith","",0,5738
"KY","Breathitt",2102500000,"President","Richard Duncan","",0,5738
"KY","Breathitt",2102500000,"President","Richard Turner Luesing Jr.","",0,5738
"KY","Breathitt",2102500000,"President","Rocky Roque de la Fuente","American Delta",7,5738
"KY","Breathitt",2102500000,"President","Santa Roy A. Clark","",0,5738
"KY","Breathitt",2102500000,"President","Scott Cubbler","",0,5738
"KY","Breathitt",2102500000,"President","Sheila Samm Tittle","We the People",0,5738
"KY","Breathitt",2102500000,"President","Timothy Allen Stevens","",0,5738
"KY","Breathitt",2102500000,"President","Tom Hoefling","America's Party",1,5738
"KY","Breathitt",2102500000,"President","William Martin Ling","",0,5738
"KY","Breckinridge",2102700000,"President","Anthony J. Valdiva","",0,8774
"KY","Breckinridge",2102700000,"President","Ben Hartnell","",0,8774
"KY","Breckinridge",2102700000,"President","Cherunda Fox","",0,8774
"KY","Breckinridge",2102700000,"President","Chris Keniston","Veteran's Party of America",0,8774
"KY","Breckinridge",2102700000,"President","Craig Ellis","",0,8774
"KY","Breckinridge",2102700000,"President","Daniel Paul Zutler","",0,8774
"KY","Breckinridge",2102700000,"President","Darrell Castle","Constitution",3,8774
"KY","Breckinridge",2102700000,"President","David Perry","",0,8774
"KY","Breckinridge",2102700000,"President","Denny Carroll Jackson","",0,8774
"KY","Breckinridge",2102700000,"President","Donald Trump","Republican",6484,8774
"KY","Breckinridge",2102700000,"President","Evan McMullin","Independent",80,8774
"KY","Breckinridge",2102700000,"President","Gary Johnson","Libertarian",194,8774
"KY","Breckinridge",2102700000,"President","Hillary Clinton","Democrat",1960,8774
"KY","Breckinridge",2102700000,"President","Jerry White","",0,8774
"KY","Breckinridge",2102700000,"President","Jill Stein","Green",47,8774
"KY","Breckinridge",2102700000,"President","Joseph Maldonado","",0,8774
"KY","Breckinridge",2102700000,"President","Laurence Kotlikoff","",0,8774
"KY","Breckinridge",2102700000,"President","Marshall Roy Schoenke","",0,8774
"KY","Breckinridge",2102700000,"President","Michael Maturen","",0,8774
"KY","Breckinridge",2102700000,"President","Mike Smith","",0,8774
"KY","Breckinridge",2102700000,"President","Richard Duncan","",0,8774
"KY","Breckinridge",2102700000,"President","Richard Turner Luesing Jr.","",0,8774
"KY","Breckinridge",2102700000,"President","Rocky Roque de la Fuente","American Delta",6,8774
"KY","Breckinridge",2102700000,"President","Santa Roy A. Clark","",0,8774
"KY","Breckinridge",2102700000,"President","Scott Cubbler","",0,8774
"KY","Breckinridge",2102700000,"President","Sheila Samm Tittle","We the People",0,8774
"KY","Breckinridge",2102700000,"President","Timothy Allen Stevens","",0,8774
"KY","Breckinridge",2102700000,"President","Tom Hoefling","America's Party",0,8774
"KY","Breckinridge",2102700000,"President","William Martin Ling","",0,8774
"KY","Bullitt",2102900000,"President","Anthony J. Valdiva","",0,36069
"KY","Bullitt",2102900000,"President","Ben Hartnell","",1,36069
"KY","Bullitt",2102900000,"President","Cherunda Fox","",0,36069
"KY","Bullitt",2102900000,"President","Chris Keniston","Veteran's Party of America",2,36069
"KY","Bullitt",2102900000,"President","Craig Ellis","",0,36069
"KY","Bullitt",2102900000,"President","Daniel Paul Zutler","",0,36069
"KY","Bullitt",2102900000,"President","Darrell Castle","Constitution",10,36069
"KY","Bullitt",2102900000,"President","David Perry","",0,36069
"KY","Bullitt",2102900000,"President","Denny Carroll Jackson","",0,36069
"KY","Bullitt",2102900000,"President","Donald Trump","Republican",26210,36069
"KY","Bullitt",2102900000,"President","Evan McMullin","Independent",354,36069
"KY","Bullitt",2102900000,"President","Gary Johnson","Libertarian",964,36069
"KY","Bullitt",2102900000,"President","Hillary Clinton","Democrat",8255,36069
"KY","Bullitt",2102900000,"President","Jerry White","",0,36069
"KY","Bullitt",2102900000,"President","Jill Stein","Green",253,36069
"KY","Bullitt",2102900000,"President","Joseph Maldonado","",0,36069
"KY","Bullitt",2102900000,"President","Laurence Kotlikoff","",0,36069
"KY","Bullitt",2102900000,"President","Marshall Roy Schoenke","",0,36069
"KY","Bullitt",2102900000,"President","Michael Maturen","",2,36069
"KY","Bullitt",2102900000,"President","Mike Smith","",0,36069
"KY","Bullitt",2102900000,"President","Richard Duncan","",0,36069
"KY","Bullitt",2102900000,"President","Richard Turner Luesing Jr.","",0,36069
"KY","Bullitt",2102900000,"President","Rocky Roque de la Fuente","American Delta",18,36069
"KY","Bullitt",2102900000,"President","Santa Roy A. Clark","",0,36069
"KY","Bullitt",2102900000,"President","Scott Cubbler","",0,36069
"KY","Bullitt",2102900000,"President","Sheila Samm Tittle","We the People",0,36069
"KY","Bullitt",2102900000,"President","Timothy Allen Stevens","",0,36069
"KY","Bullitt",2102900000,"President","Tom Hoefling","America's Party",0,36069
"KY","Bullitt",2102900000,"President","William Martin Ling","",0,36069
"KY","Butler",2103100000,"President","Anthony J. Valdiva","",0,5576
"KY","Butler",2103100000,"President","Ben Hartnell","",0,5576
"KY","Butler",2103100000,"President","Cherunda Fox","",0,5576
"KY","Butler",2103100000,"President","Chris Keniston","Veteran's Party of America",0,5576
"KY","Butler",2103100000,"President","Craig Ellis","",0,5576
"KY","Butler",2103100000,"President","Daniel Paul Zutler","",0,5576
"KY","Butler",2103100000,"President","Darrell Castle","Constitution",0,5576
"KY","Butler",2103100000,"President","David Perry","",0,5576
"KY","Butler",2103100000,"President","Denny Carroll Jackson","",0,5576
"KY","Butler",2103100000,"President","Donald Trump","Republican",4428,5576
"KY","Butler",2103100000,"President","Evan McMullin","Independent",53,5576
"KY","Butler",2103100000,"President","Gary Johnson","Libertarian",136,5576
"KY","Butler",2103100000,"President","Hillary Clinton","Democrat",947,5576
"KY","Butler",2103100000,"President","Jerry White","",0,5576
"KY","Butler",2103100000,"President","Jill Stein","Green",11,5576
"KY","Butler",2103100000,"President","Joseph Maldonado","",0,5576
"KY","Butler",2103100000,"President","Laurence Kotlikoff","",0,5576
"KY","Butler",2103100000,"President","Marshall Roy Schoenke","",0,5576
"KY","Butler",2103100000,"President","Michael Maturen","",0,5576
"KY","Butler",2103100000,"President","Mike Smith","",0,5576
"KY","Butler",2103100000,"President","Richard Duncan","",0,5576
"KY","Butler",2103100000,"President","Richard Turner Luesing Jr.","",0,5576
"KY","Butler",2103100000,"President","Rocky Roque de la Fuente","American Delta",1,5576
"KY","Butler",2103100000,"President","Santa Roy A. Clark","",0,5576
"KY","Butler",2103100000,"President","Scott Cubbler","",0,5576
"KY","Butler",2103100000,"President","Sheila Samm Tittle","We the People",0,5576
"KY","Butler",2103100000,"President","Timothy Allen Stevens","",0,5576
"KY","Butler",2103100000,"President","Tom Hoefling","America's Party",0,5576
"KY","Butler",2103100000,"President","William Martin Ling","",0,5576
"KY","Caldwell",2103300000,"President","Anthony J. Valdiva","",0,5975
"KY","Caldwell",2103300000,"President","Ben Hartnell","",0,5975
"KY","Caldwell",2103300000,"President","Cherunda Fox","",0,5975
